num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2024S018521;31/05/2024;16:50:00;PLAZA. SAN JUAN DE LA CRUZ / PASEO. CASTELLANA;11;7;CHAMBERÍ;Colisión fronto-lateral;Despejado;Turismo;Pasajero;Más de 74 años;Mujer;1;Atención en urgencias sin posterior ingreso;441304,808;4477004,099;N;NULL
2024S018525;31/05/2024;17:00:00;CALL. PELICANO / CALL. ARGÜESO;5;11;CARABANCHEL;Colisión fronto-lateral;Despejado;Furgoneta;Conductor;De 25 a 29 años;Hombre;1;Atención en urgencias sin posterior ingreso;438333,986;4470592,11;S;NULL
2024S018525;31/05/2024;17:00:00;CALL. PELICANO / CALL. ARGÜESO;5;11;CARABANCHEL;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 60 a 64 años;Hombre;1;Atención en urgencias sin posterior ingreso;438333,986;4470592,11;N;NULL
2024S018525;31/05/2024;17:00:00;CALL. PELICANO / CALL. ARGÜESO;5;11;CARABANCHEL;Colisión fronto-lateral;Despejado;Turismo;Peatón;De 60 a 64 años;Mujer;1;Atención en urgencias sin posterior ingreso;438333,986;4470592,11;N;NULL
2024S018529;31/05/2024;16:00:00;CALL. BRAVO MURILLO / CALL. CARNICER;121;6;TETUÁN;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;De 30 a 34 años;Mujer;2;Ingreso inferior o igual a 24 horas;440329,57;4477884,709;N;NULL
2024S018529;31/05/2024;16:00:00;CALL. BRAVO MURILLO / CALL. CARNICER;121;6;TETUÁN;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;14;Sin asistencia sanitaria;440329,57;4477884,709;N;NULL
2024S018530;31/05/2024;18:25:00;CALL. GOYA 64;64;4;SALAMANCA;Colisión fronto-lateral;NULL;Turismo;Conductor;De 45 a 49 años;Hombre;NULL;NULL;442534,708;4475128,884;N;NULL
2024S018530;31/05/2024;18:25:00;CALL. GOYA 64;64;4;SALAMANCA;Colisión fronto-lateral;NULL;Turismo;Conductor;De 50 a 54 años;Mujer;NULL;NULL;442534,708;4475128,884;N;NULL
2024S018531;31/05/2024;16:15:00;CALL. CARDENAL MARCELO SPINOLA 34;34;5;CHAMARTÍN;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 40 a 44 años;Hombre;NULL;NULL;443051,348;4479879,357;N;NULL
2024S018531;31/05/2024;16:15:00;CALL. CARDENAL MARCELO SPINOLA 34;34;5;CHAMARTÍN;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;NULL;NULL;443051,348;4479879,357;N;NULL
2024S018532;31/05/2024;19:30:00;CALL. EL HUESPED DEL SEVILLANO / CALL. LA CANCION DEL OLVIDO;1;17;VILLAVERDE;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 21 a 24 años;Hombre;NULL;NULL;440544,5;4467613,092;N;NULL
2024S018532;31/05/2024;19:30:00;CALL. EL HUESPED DEL SEVILLANO / CALL. LA CANCION DEL OLVIDO;1;17;VILLAVERDE;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 60 a 64 años;Mujer;NULL;NULL;440544,5;4467613,092;N;NULL
2024S018533;31/05/2024;16:59:00;AVDA. MIGUEL HERNANDEZ / CALL. ANDALUCES;48;13;PUENTE DE VALLECAS;Alcance;Despejado;NULL;Conductor;Desconocido;Desconocido;NULL;NULL;446187,424;4471224,054;N;NULL
2024S018533;31/05/2024;16:59:00;AVDA. MIGUEL HERNANDEZ / CALL. ANDALUCES;48;13;PUENTE DE VALLECAS;Alcance;Despejado;Motocicleta hasta 125cc;Conductor;De 40 a 44 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;446187,424;4471224,054;N;NULL
2024S018534;31/05/2024;16:15:00;AVDA. LA GAVIA / AVDA. CERRO MILANO;70;18;VILLA DE VALLECAS;Caída;Despejado;Motocicleta hasta 125cc;Conductor;De 40 a 44 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;447643,396;4468734,915;N;NULL
2024S018535;31/05/2024;17:15:00;CALL. COLOMBIA 19;19;5;CHAMARTÍN;Otro;Despejado;Turismo;Conductor;De 40 a 44 años;Mujer;NULL;NULL;442782,552;4478713,488;N;NULL
2024S018536;31/05/2024;19:35:00;CALL. VALLE DE MENA / AVDA. JUAN ANDRES;14;8;FUENCARRAL-EL PARDO;Colisión lateral;NULL;Turismo;Conductor;De 18 a 20 años;Mujer;NULL;NULL;438694,699;4480388,87;N;NULL
2024S018536;31/05/2024;19:35:00;CALL. VALLE DE MENA / AVDA. JUAN ANDRES;14;8;FUENCARRAL-EL PARDO;Colisión lateral;NULL;Turismo;Conductor;De 35 a 39 años;Hombre;NULL;NULL;438694,699;4480388,87;N;NULL
2024S018536;31/05/2024;19:35:00;CALL. VALLE DE MENA / AVDA. JUAN ANDRES;14;8;FUENCARRAL-EL PARDO;Colisión lateral;NULL;Turismo;Pasajero;De 18 a 20 años;Mujer;NULL;NULL;438694,699;4480388,87;N;NULL
2024S018537;31/05/2024;18:27:00;AVDA. DAROCA / CALL. CASALARREINA;301;19;VICÁLVARO;Alcance;Despejado;Turismo;Conductor;De 50 a 54 años;Hombre;14;Sin asistencia sanitaria;447719,524;4473282,412;N;NULL
2024S018537;31/05/2024;18:27:00;AVDA. DAROCA / CALL. CASALARREINA;301;19;VICÁLVARO;Alcance;Despejado;Turismo;Conductor;De 50 a 54 años;Mujer;14;Sin asistencia sanitaria;447719,524;4473282,412;N;NULL
2024S018538;31/05/2024;20:55:00;CUSTA. VEGA 1;1;1;CENTRO;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;NULL;NULL;439249,009;4474067,025;N;NULL
2024S018538;31/05/2024;20:55:00;CUSTA. VEGA 1;1;1;CENTRO;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;De 30 a 34 años;Mujer;NULL;NULL;439249,009;4474067,025;N;NULL
2024S018540;31/05/2024;19:30:00;AUTOV. M-30 10NL70;10NL70;2;ARGANZUELA;Alcance;Despejado;Turismo;Conductor;De 25 a 29 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;442814,315;4471712,632;N;NULL
2024S018540;31/05/2024;19:30:00;AUTOV. M-30 10NL70;10NL70;2;ARGANZUELA;Alcance;Despejado;Turismo;Conductor;De 35 a 39 años;Hombre;14;Sin asistencia sanitaria;442814,315;4471712,632;N;NULL
2024S018540;31/05/2024;19:30:00;AUTOV. M-30 10NL70;10NL70;2;ARGANZUELA;Alcance;Despejado;Turismo;Conductor;De 40 a 44 años;Hombre;14;Sin asistencia sanitaria;442814,315;4471712,632;N;NULL
2024S018540;31/05/2024;19:30:00;AUTOV. M-30 10NL70;10NL70;2;ARGANZUELA;Alcance;Despejado;Turismo;Conductor;De 45 a 49 años;Hombre;14;Sin asistencia sanitaria;442814,315;4471712,632;N;NULL
2024S018540;31/05/2024;19:30:00;AUTOV. M-30 10NL70;10NL70;2;ARGANZUELA;Alcance;Despejado;Turismo;Pasajero;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;442814,315;4471712,632;N;NULL
2024S018541;31/05/2024;20:29:00;CALL. ARZOBISPO MORCILLO / CALL. JULIO PALACIOS;6;8;FUENCARRAL-EL PARDO;Atropello a persona;Despejado;Turismo;Conductor;De 18 a 20 años;Mujer;14;Sin asistencia sanitaria;441165,825;4481443,369;N;NULL
2024S018541;31/05/2024;20:29:00;CALL. ARZOBISPO MORCILLO / CALL. JULIO PALACIOS;6;8;FUENCARRAL-EL PARDO;Atropello a persona;Despejado;Turismo;Pasajero;De 50 a 54 años;Hombre;14;Sin asistencia sanitaria;441165,825;4481443,369;N;NULL
2024S018541;31/05/2024;20:29:00;CALL. ARZOBISPO MORCILLO / CALL. JULIO PALACIOS;6;8;FUENCARRAL-EL PARDO;Atropello a persona;Despejado;Turismo;Peatón;De 70 a 74 años;Mujer;3;Ingreso superior a 24 horas;441165,825;4481443,369;N;NULL
2024S018542;31/05/2024;19:35:00;CALL. AMERICO CASTRO 21;21;16;HORTALEZA;Colisión frontal;Despejado;Turismo;Conductor;De 25 a 29 años;Mujer;NULL;NULL;444698,235;4483159,693;N;NULL
2024S018542;31/05/2024;19:35:00;CALL. AMERICO CASTRO 21;21;16;HORTALEZA;Colisión frontal;Despejado;Turismo;Conductor;De 70 a 74 años;Hombre;NULL;NULL;444698,235;4483159,693;N;NULL
2024S018543;31/05/2024;20:00:00;CALL. VELEZ RUBIO / CALL. BACARES;24;16;HORTALEZA;Atropello a persona;Despejado;Turismo;Conductor;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;443816,801;4480882,421;N;NULL
2024S018543;31/05/2024;20:00:00;CALL. VELEZ RUBIO / CALL. BACARES;24;16;HORTALEZA;Atropello a persona;Despejado;Turismo;Peatón;De 60 a 64 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;443816,801;4480882,421;N;NULL
2024S018544;31/05/2024;21:30:00;AVDA. EMPERATRIZ ISABEL 8;8;11;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Todo terreno;Conductor;Desconocido;Desconocido;NULL;NULL;439158,02;4472174,179;N;NULL
2024S018544;31/05/2024;21:30:00;AVDA. EMPERATRIZ ISABEL 8;8;11;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;439158,02;4472174,179;N;NULL
2024S018545;31/05/2024;20:30:00;CALL. SAN CLAUDIO / CALL. ANDALUCES;93;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;De 10 a 14 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;446022,746;4471171,451;N;NULL
2024S018545;31/05/2024;20:30:00;CALL. SAN CLAUDIO / CALL. ANDALUCES;93;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 65 a 69 años;Hombre;14;Sin asistencia sanitaria;446022,746;4471171,451;N;NULL
2024S018545;31/05/2024;20:30:00;CALL. SAN CLAUDIO / CALL. ANDALUCES;93;13;PUENTE DE VALLECAS;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 65 a 69 años;Mujer;14;Sin asistencia sanitaria;446022,746;4471171,451;N;NULL
2024S018547;31/05/2024;20:45:00;CALL. CARPIO Y TORTA 3;3;11;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;NULL;NULL;435963,934;4468475,253;S;NULL
2024S018547;31/05/2024;20:45:00;CALL. CARPIO Y TORTA 3;3;11;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;435963,934;4468475,253;N;NULL
2024S018550;31/05/2024;23:30:00;AVDA. RAFAELA YBARRA / CALL. DOLORES BARRANCO;39;12;USERA;Colisión múltiple;Despejado;Turismo;Conductor;De 35 a 39 años;Hombre;NULL;NULL;439627,909;4470493,123;S;NULL
2024S018550;31/05/2024;23:30:00;AVDA. RAFAELA YBARRA / CALL. DOLORES BARRANCO;39;12;USERA;Colisión múltiple;Despejado;Turismo;Conductor;De 50 a 54 años;Hombre;NULL;NULL;439627,909;4470493,123;N;NULL
2024S018550;31/05/2024;23:30:00;AVDA. RAFAELA YBARRA / CALL. DOLORES BARRANCO;39;12;USERA;Colisión múltiple;Despejado;Turismo;Conductor;De 50 a 54 años;Hombre;NULL;NULL;439627,909;4470493,123;N;NULL
2024S018551;31/05/2024;22:33:00;PASEO. EXTREMADURA 114;114;10;LATINA;Caída;Despejado;Ciclomotor;Conductor;De 21 a 24 años;Hombre;6;Asistencia sanitaria inmediata en centro de salud o mutua;437709,987;4473708,478;N;NULL
2024S018555;31/05/2024;23:20:00;PASEO. EXTREMADURA / CALL. DANTE;1;10;LATINA;Colisión frontal;NULL;Furgoneta;Conductor;De 50 a 54 años;Hombre;NULL;NULL;437075,019;4473473,123;N;NULL
2024S018555;31/05/2024;23:20:00;PASEO. EXTREMADURA / CALL. DANTE;1;10;LATINA;Colisión frontal;NULL;Furgoneta;Pasajero;De 40 a 44 años;Mujer;NULL;NULL;437075,019;4473473,123;N;NULL
2024S018555;31/05/2024;23:20:00;PASEO. EXTREMADURA / CALL. DANTE;1;10;LATINA;Colisión frontal;NULL;Furgoneta;Pasajero;De 45 a 49 años;Hombre;NULL;NULL;437075,019;4473473,123;N;NULL
2024S018555;31/05/2024;23:20:00;PASEO. EXTREMADURA / CALL. DANTE;1;10;LATINA;Colisión frontal;NULL;Furgoneta;Pasajero;De 45 a 49 años;Mujer;NULL;NULL;437075,019;4473473,123;N;NULL
