num_expediente,fecha,localizacion,numero,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona,rango_edad,sexo,cod_lesividad,lesividad,coordenada_x_utm,coordenada_y_utm,positiva_alcohol,positiva_droga
2024S008296,2024-07-03T13:12:00Z,CALL. OLITE / CALL. AVELINO MONTERO RIOS,17,6,TETUÁN,Colisión fronto-lateral,Nublado,Motocicleta hasta 125cc,Conductor,De 35 a 39 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,440022.98,4478002.08,true,false
2024S008296,2024-07-03T13:12:00Z,CALL. OLITE / CALL. AVELINO MONTERO RIOS,17,6,TETUÁN,Colisión fronto-lateral,Nublado,Turismo,Conductor,De 35 a 39 años,Hombre,14,Sin asistencia sanitaria,440022.98,4478002.08,false,false
2024S008296,2024-07-03T13:12:00Z,CALL. OLITE / CALL. AVELINO MONTERO RIOS,17,6,TETUÁN,Colisión fronto-lateral,Nublado,Turismo,Conductor,Desconocido,Desconocido,14,Sin asistencia sanitaria,440022.98,4478002.08,false,false
2024S008297,2024-07-03T10:45:00Z,CALL. NURIA 91,91,8,FUENCARRAL-EL PARDO,Colisión lateral,Nublado,Turismo,Conductor,De 40 a 44 años,Mujer,0,Desconocido,439590.256,4483044.01,false,false
2024S008297,2024-07-03T10:45:00Z,CALL. NURIA 91,91,8,FUENCARRAL-EL PARDO,Colisión lateral,Nublado,Turismo,Conductor,De 60 a 64 años,Mujer,0,Desconocido,439590.256,4483044.01,false,false
2024S008298,2024-07-03T13:00:00Z,CALL. GENERAL RICARDOS 43,43,11,CARABANCHEL,Colisión fronto-lateral,Nublado,Furgoneta,Conductor,De 70 a 74 años,Hombre,14,Sin asistencia sanitaria,438905.217,4471898.561,false,false
2024S008298,2024-07-03T13:00:00Z,CALL. GENERAL RICARDOS 43,43,11,CARABANCHEL,Colisión fronto-lateral,Nublado,Motocicleta hasta 125cc,Conductor,De 35 a 39 años,Mujer,7,Asistencia sanitaria sólo en el lugar del accidente,438905.217,4471898.561,false,false
2024S008299,2024-07-03T13:45:00Z,CTRA. ESTACION DE HORTALEZA / CALL. SANTA ADELA,11,16,HORTALEZA,Colisión lateral,Despejado,Turismo,Conductor,De 30 a 34 años,Mujer,0,Desconocido,444729.179,4481148.085,false,false
2024S008299,2024-07-03T13:45:00Z,CTRA. ESTACION DE HORTALEZA / CALL. SANTA ADELA,11,16,HORTALEZA,Colisión lateral,Despejado,Turismo,Conductor,De 45 a 49 años,Mujer,0,Desconocido,444729.179,4481148.085,false,false
2024S008301,2024-07-03T15:00:00Z,AVDA. POBLADOS / CALL. ALMORADI,102,11,CARABANCHEL,Atropello a persona,Lluvia débil,Turismo,Conductor,De 30 a 34 años,Mujer,14,Sin asistencia sanitaria,437208.597,4469508.905,false,false
2024S008301,2024-07-03T15:00:00Z,AVDA. POBLADOS / CALL. ALMORADI,102,11,CARABANCHEL,Atropello a persona,Lluvia débil,Turismo,Conductor,Desconocido,Desconocido,0,Desconocido,437208.597,4469508.905,false,false
2024S008301,2024-07-03T15:00:00Z,AVDA. POBLADOS / CALL. ALMORADI,102,11,CARABANCHEL,Atropello a persona,Lluvia débil,Turismo,Peatón,De 35 a 39 años,Hombre,3,Ingreso superior a 24 horas,437208.597,4469508.905,false,false
2024S008302,2024-07-03T14:30:00Z,AVDA. ANDALUCIA / CALL. ROCAFORT,80,17,VILLAVERDE,Alcance,Nublado,Todo terreno,Conductor,De 55 a 59 años,Hombre,14,Sin asistencia sanitaria,441152.553,4465905.772,false,false
2024S008302,2024-07-03T14:30:00Z,AVDA. ANDALUCIA / CALL. ROCAFORT,80,17,VILLAVERDE,Alcance,Nublado,Turismo,Conductor,De 50 a 54 años,Mujer,14,Sin asistencia sanitaria,441152.553,4465905.772,false,false
2024S008303,2024-07-03T14:45:00Z,PLAZA. ELIPTICA 2,2,12,USERA,Alcance,Se desconoce,Furgoneta,Conductor,De 25 a 29 años,Hombre,0,Desconocido,439130.059,4470773.141,false,false
2024S008303,2024-07-03T14:45:00Z,PLAZA. ELIPTICA 2,2,12,USERA,Alcance,Se desconoce,Turismo,Conductor,De 30 a 34 años,Mujer,0,Desconocido,439130.059,4470773.141,false,false
2024S008304,2024-07-03T15:15:00Z,PLAZA. GRECIA 1,1,20,SAN BLAS-CANILLEJAS,Alcance,Lluvia débil,Turismo,Conductor,De 50 a 54 años,Hombre,14,Sin asistencia sanitaria,448427.639,4476263.735,false,false
2024S008304,2024-07-03T15:15:00Z,PLAZA. GRECIA 1,1,20,SAN BLAS-CANILLEJAS,Alcance,Lluvia débil,Turismo,Conductor,De 55 a 59 años,Hombre,14,Sin asistencia sanitaria,448427.639,4476263.735,false,false
2024S008305,2024-07-03T16:00:00Z,PASEO. REINA CRISTINA / PLAZA. MARIANO DE CAVIA,36,3,RETIRO,Colisión lateral,Lluvia débil,Autobús,Conductor,De 40 a 44 años,Hombre,14,Sin asistencia sanitaria,442376.12,4473193.112,false,false
2024S008305,2024-07-03T16:00:00Z,PASEO. REINA CRISTINA / PLAZA. MARIANO DE CAVIA,36,3,RETIRO,Colisión lateral,Lluvia débil,Turismo,Conductor,De 35 a 39 años,Hombre,14,Sin asistencia sanitaria,442376.12,4473193.112,false,false
2024S008306,2024-07-03T16:45:00Z,PASEO. GENERAL MARTINEZ CAMPOS 45,45,7,CHAMBERÍ,Alcance,Nublado,Turismo,Conductor,De 40 a 44 años,Hombre,14,Sin asistencia sanitaria,441403.976,4476286.421,false,false
2024S008306,2024-07-03T16:45:00Z,PASEO. GENERAL MARTINEZ CAMPOS 45,45,7,CHAMBERÍ,Alcance,Nublado,Turismo,Conductor,De 50 a 54 años,Mujer,14,Sin asistencia sanitaria,441403.976,4476286.421,false,false
2024S008307,2024-07-03T16:30:00Z,AUTOVIA M-40 KM22.300 INTERIOR,+02300I,12,USERA,Alcance,Lluvia débil,Turismo,Conductor,De 30 a 34 años,Hombre,0,Desconocido,441594.94,4468331.375,false,false
2024S008307,2024-07-03T16:30:00Z,AUTOVIA M-40 KM22.300 INTERIOR,+02300I,12,USERA,Alcance,Lluvia débil,Turismo,Conductor,De 45 a 49 años,Hombre,0,Desconocido,441594.94,4468331.375,false,false
